Number,Name,Gender,Birth,Breed,ZipCode,IssuedDate,ExpiredDate
277478,ABBOTT,M,2014,Unknown,10036,6/5/2018,5/4/2019
149122,JAX,M,2013,Dalmatian,11417,3/14/2017,4/1/2022
28727,MIKE,M,2014,Labrador Retriever Crossbreed,11235,12/3/2015,12/30/2017
179882,KIPPY,F,2012,Beagle Crossbreed,10463,8/14/2017,10/2/2018
281874,BELLA,F,2013,Unknown,11230,7/2/2018,8/23/2019
304814,BRUNO,M,2014,Puggle,11417,11/29/2018,11/16/2019
114597,IVY,F,2012,American Pit Bull Terrier/Pit Bull,11356,4/28/2016,4/10/2017
255453,WINNIE,F,2016,Chihuahua,10023,2/4/2018,3/3/2019
184927,COOPER,M,2013,Pug,11357,9/6/2017,9/8/2018
3553,ALLEN,M,2014,Chihuahua,10003,2/5/2015,2/5/2016
37069,PANCHO,M,2013,Boston Terrier,10044,2/9/2016,3/20/2017
153526,ELSA,F,2014,Maltese,10038,4/8/2017,4/8/2019
46536,ROMEO,M,2014,Unknown,11101,4/1/2016,1/29/2017
297216,ONYX,M,2013,Labrador Retriever Crossbreed,10029,10/8/2018,10/11/2019
54287,FOXY,F,2006,Pomeranian,11358,5/10/2016,4/1/2017
121219,FONZIE,M,2015,Boston Terrier,10024,7/12/2016,7/12/2021
188382,DAISY,F,2016,Terrier mix,11201,9/18/2017,9/18/2022
92407,OTTO,M,2015,Labrador Retriever,10025,11/11/2016,1/3/2018
89715,BONNIE,F,2010,Terrier mix,10024,10/26/2016,12/18/2019
182333,MAYNARD,F,2017,Labrador Retriever,10031,8/26/2017,6/22/2019
172865,SCOUT,F,2012,Yorkshire Terrier,11231,7/15/2017,6/29/2018
99825,COOKIE,F,2010,Pomeranian,11372,12/30/2016,12/30/2017
281534,ABBIE,F,2016,American Pit Bull Terrier/Pit Bull,10451,6/30/2018,6/30/2019
23714,DREAM,F,2015,Bull Terrier,11421,9/28/2015,9/28/2016
48312,TICO,M,2011,American Pit Bull Terrier/Pit Bull,11213,4/11/2016,4/27/2018
256400,RUFUS,M,2014,Labradoodle,10023,2/9/2018,2/9/2021
200675,PINE,M,2015,Dachshund Smooth Coat,10028,11/24/2017,11/24/2018
198047,BARRERA,M,2016,Maltese Crossbreed,11204,11/7/2017,9/16/2018
79729,WINSTON,M,2015,"Bull Dog, English",11201,9/6/2016,11/2/2017
188854,FINN,M,2013,"Dachshund, Long Haired Miniature",10022,9/19/2017,9/30/2018
168987,DAISY,F,2010,Maltese,11226,6/27/2017,5/19/2019
298034,ARROW,M,2015,Whippet,10023,10/13/2018,10/13/2019
99882,SHIBA,M,2016,Shiba Inu,10314,12/30/2016,12/30/2017
234717,TRIXIE,F,2015,Norwich Terrier,10023,8/2/2017,9/22/2020
238135,LULU,F,2012,Shiba Inu,11103,9/1/2017,9/1/2018
169534,BEAR,F,2015,Chihuahua,10012,6/29/2017,2/27/2019
54034,LIZZY,F,2009,Labrador Retriever,11203,5/9/2016,5/31/2017
22714,WINNIE,F,2010,Yorkshire Terrier,10019,9/15/2015,9/15/2016
69438,PRINCESS,F,2016,Havanese,11235,7/18/2016,7/18/2017
60663,ZANDER,M,2010,Unknown,10019,6/9/2016,7/24/2017
301921,LOLA,F,2016,Shih Tzu,11224,11/7/2018,11/22/2019
148580,MALTI-POO,F,2016,Maltese Crossbreed,11221,3/11/2017,3/11/2018
299531,CHASE,M,2017,"Poodle, Miniature",11233,10/23/2018,12/14/2019
145844,YOGI,M,2010,Unknown,11201,2/26/2017,4/4/2018
250383,ELVIS,M,2009,Shih Tzu,10314,1/1/2018,1/27/2019
243266,DAISY,F,2016,German Shepherd Dog,10025,10/21/2017,10/21/2018
4396,NAME NOT PROVIDED,M,2014,Siberian Husky,11354,2/17/2015,2/17/2016
246597,TEDDY,M,2016,Pomeranian Crossbreed,10458,11/27/2017,11/27/2018
58799,LEONARDO,M,2013,Havanese,10005,5/31/2016,7/23/2017
89092,PRECIOUS,F,2009,Chihuahua,10707,10/22/2016,9/30/2017
296213,LUCAS,M,2015,Labrador Retriever,12790,10/1/2018,11/24/2019
85816,NONE,F,2016,Yorkshire Terrier,10309,10/4/2016,10/4/2017
302242,DAMIAN,M,2008,Unknown,10010,11/9/2018,11/1/2019
134076,COCO,F,2015,Siberian Husky Crossbreed,11103,11/21/2016,11/21/2017
57571,BABY,M,2012,Unknown,11238,5/23/2016,6/25/2017
269960,BOBBY,M,2011,Pomeranian Crossbreed,10455,4/23/2018,4/23/2019
123683,SNICKERS,F,2016,Boxer,10469,8/5/2016,8/5/2017
94626,BUNK,M,2015,"Schnauzer, Miniature",11215,11/26/2016,1/8/2022
230340,TROYANOVSKY,F,2017,Maltese Crossbreed,10312,6/23/2017,6/23/2018
66320,TEDDY,M,2015,Golden Retriever,10011,7/5/2016,7/5/2017
244320,BUFFY,F,2017,Goldendoodle,10038,10/31/2017,10/31/2018
3349,UNKNOWN,F,2013,Unknown,11220,2/2/2015,2/2/2016
110888,GALLINA,F,2013,"Welsh Corgi, Cardigan",10025,3/18/2016,3/18/2017
111765,GRETA,F,2013,Whippet,10014,3/30/2016,3/30/2021
